date,JETS_close
2015-04-30,22.8583
2015-05-01,23.5028
2015-05-04,23.3043
2015-05-05,22.6806
2015-05-06,22.6617
2015-05-07,23.0964
2015-05-08,23.4555
2015-05-11,23.5973
2015-05-12,23.2854
2015-05-13,23.1626
2015-05-14,23.5122
2015-05-15,23.5217
2015-05-18,23.5973
2015-05-19,23.3138
2015-05-20,22.0852
2015-05-21,22.0758
2015-05-22,21.8490
2015-05-26,21.4332
2015-05-27,21.8773
2015-05-28,21.8206
2015-05-29,21.8301
2015-06-01,22.3498
2015-06-02,22.1514
2015-06-03,22.2459
2015-06-04,21.9161
2015-06-05,21.8395
2015-06-08,21.1308
2015-06-09,21.0174
2015-06-10,21.1969
2015-06-11,21.1818
2015-06-12,21.4048
2015-06-15,21.1591
2015-06-16,21.0457
2015-06-17,21.1119
2015-06-18,21.3103
2015-06-19,21.5277
2015-06-22,22.0663
2015-06-23,22.0947
2015-06-24,21.8962
2015-06-25,21.9151
2015-06-26,21.6978
2015-06-29,21.0363
2015-06-30,21.1591
2015-07-01,20.8473
2015-07-02,20.8851
2015-07-06,21.0363
2015-07-07,21.2347
2015-07-08,20.7868
2015-07-09,21.0646
2015-07-10,21.8301
2015-07-13,22.1041
2015-07-14,22.0569
2015-07-15,22.0474
2015-07-16,22.1703
2015-07-17,22.2837
2015-07-20,21.9529
2015-07-21,22.1986
2015-07-22,22.4160
2015-07-23,22.5200
2015-07-24,21.8962
2015-07-27,21.8017
2015-07-28,22.3309
2015-07-29,22.1986
2015-07-30,22.2648
2015-07-31,22.2648
2015-08-03,22.8035
2015-08-04,23.1153
2015-08-05,23.2004
2015-08-06,23.0303
2015-08-07,22.9263
2015-08-10,23.0586
2015-08-11,23.3138
2015-08-12,23.0208
2015-08-13,23.3138
2015-08-14,23.4083
2015-08-17,23.6351
2015-08-18,23.4555
2015-08-19,23.3894
2015-08-20,22.6901
2015-08-21,21.7356
2015-08-24,21.1119
2015-08-25,20.8662
2015-08-26,21.4993
2015-08-27,21.6978
2015-08-28,21.6033
2015-08-31,21.5466
2015-09-01,21.3765
2015-09-02,22.0474
2015-09-03,21.9718
2015-09-04,21.9624
2015-09-08,22.4255
2015-09-09,22.4538
2015-09-10,22.4822
2015-09-11,22.6239
2015-09-14,22.7184
2015-09-15,22.8129
2015-09-16,23.0681
2015-09-17,23.4461
2015-09-18,23.1531
2015-09-21,23.2287
2015-09-22,22.5483
2015-09-23,22.5861
2015-09-24,22.3120
2015-09-25,22.4255
2015-09-28,21.7450
2015-09-29,21.6883
2015-09-30,21.9340
2015-10-01,22.0663
2015-10-02,22.0295
2015-10-05,22.6428
2015-10-06,21.9057
2015-10-07,22.1703
2015-10-08,22.2742
2015-10-09,22.9452
2015-10-12,23.5311
2015-10-13,23.0775
2015-10-14,23.1909
2015-10-15,23.4744
2015-10-16,23.1059
2015-10-19,23.5028
2015-10-20,23.5311
2015-10-21,23.3610
2015-10-22,23.8912
2015-10-23,24.1926
2015-10-26,24.5423
2015-10-27,24.2588
2015-10-28,24.0320
2015-10-29,24.0320
2015-10-30,24.2493
2015-11-02,24.4195
2015-11-03,24.4951
2015-11-04,24.3155
2015-11-05,24.4204
2015-11-06,24.6151
2015-11-09,24.2210
2015-11-10,24.1548
2015-11-11,24.1170
2015-11-12,23.9375
2015-11-13,23.7296
2015-11-16,23.5122
2015-11-17,23.5623
2015-11-18,23.6162
2015-11-19,23.9280
2015-11-20,24.0509
2015-11-23,24.0225
2015-11-24,23.5028
2015-11-25,23.4083
2015-11-27,23.5217
2015-11-30,23.3043
2015-12-01,23.8713
2015-12-02,24.0981
2015-12-03,23.9091
2015-12-04,24.5329
2015-12-07,24.9581
2015-12-08,24.2304
2015-12-09,23.8808
2015-12-10,24.2588
2015-12-11,23.4272
2015-12-14,23.5406
2015-12-15,23.8241
2015-12-16,24.1170
2015-12-17,23.7390
2015-12-18,23.3421
2015-12-21,23.7768
2015-12-22,23.9347
2015-12-23,24.0603
2015-12-24,24.1170
2015-12-28,24.0556
2015-12-29,24.2620
2015-12-30,23.8313
