date,PFIX_close
2021-05-11,22.7891
2021-05-12,23.1262
2021-05-13,22.7982
2021-05-14,22.1694
2021-05-17,22.0282
2021-05-18,22.0601
2021-05-19,22.7799
2021-05-20,22.9030
2021-05-21,22.9531
2021-05-24,22.9121
2021-05-25,22.5294
2021-05-26,22.5749
2021-05-27,22.4656
2021-05-28,22.2756
2021-06-01,22.1512
2021-06-02,21.6956
2021-06-03,21.6409
2021-06-04,21.1854
2021-06-07,21.0669
2021-06-08,20.7981
2021-06-09,20.6865
2021-06-10,20.3425
2021-06-11,20.3881
2021-06-14,20.8345
2021-06-15,20.8254
2021-06-16,20.7525
2021-06-17,20.2796
2021-06-18,19.3698
2021-06-21,20.0500
2021-06-22,19.7065
2021-06-23,19.5689
2021-06-24,19.4937
2021-06-25,19.7274
2021-06-28,19.1716
2021-06-29,19.1074
2021-06-30,18.8673
2021-07-01,18.4818
2021-07-02,18.2850
2021-07-06,18.0508
2021-07-07,17.9998
2021-07-08,18.4335
2021-07-09,18.3738
2021-07-12,18.4290
2021-07-13,18.7889
2021-07-14,18.3647
2021-07-15,17.9734
2021-07-16,18.0873
2021-07-19,17.6695
2021-07-20,18.0736
2021-07-21,18.3470
2021-07-22,18.2741
2021-07-23,18.3561
2021-07-26,18.4973
2021-07-27,18.3014
2021-07-28,18.3862
2021-07-29,18.4499
2021-07-30,18.4745
2021-08-02,18.2622
2021-08-03,18.2103
2021-08-04,18.1151
2021-08-05,18.2969
2021-08-06,18.8709
2021-08-09,18.7032
2021-08-10,18.7042
2021-08-11,18.4782
2021-08-12,18.5866
2021-08-13,18.2148
2021-08-16,17.9870
2021-08-17,18.0522
2021-08-18,17.9634
2021-08-19,17.9533
2021-08-20,17.9889
2021-08-23,17.9287
2021-08-24,18.0973
2021-08-25,18.3333
2021-08-26,18.2559
2021-08-27,18.0823
2021-08-30,17.9114
2021-08-31,18.1160
2021-09-01,18.1009
2021-09-02,17.9233
2021-09-03,18.1684
2021-09-07,18.3379
2021-09-08,18.3424
2021-09-09,17.9870
2021-09-10,18.2376
2021-09-13,17.9734
2021-09-14,17.6636
2021-09-15,17.8139
2021-09-16,17.9552
2021-09-17,17.9870
2021-09-20,17.6317
2021-09-21,17.6135
2021-09-22,17.5542
2021-09-23,18.0463
2021-09-24,18.1921
2021-09-27,18.1556
2021-09-28,18.6249
2021-09-29,18.5975
2021-09-30,18.5292
2021-10-01,18.4199
2021-10-04,18.3606
2021-10-05,18.6203
2021-10-06,18.5743
2021-10-07,18.9074
2021-10-08,19.2062
2021-10-11,19.1625
2021-10-12,18.6659
2021-10-13,18.3287
2021-10-14,18.2422
2021-10-15,18.4882
2021-10-18,18.3834
2021-10-19,18.7625
2021-10-20,19.0076
2021-10-21,18.9985
2021-10-22,18.6932
2021-10-25,19.0167
2021-10-26,18.8276
2021-10-27,18.3333
2021-10-28,18.3461
2021-10-29,18.2786
2021-11-01,18.7206
2021-11-02,18.5019
2021-11-03,18.6386
2021-11-04,18.1101
2021-11-05,17.6772
2021-11-08,17.6727
2021-11-09,17.6180
2021-11-10,18.1465
2021-11-11,18.1921
2021-11-12,18.3971
2021-11-15,18.8026
2021-11-16,18.7616
2021-11-17,18.3196
2021-11-18,18.1283
2021-11-19,17.9050
2021-11-22,18.1738
2021-11-23,18.5748
2021-11-24,18.2604
2021-11-26,18.0399
2021-11-29,18.2969
2021-11-30,18.0039
2021-12-01,18.1830
2021-12-02,18.0508
2021-12-03,17.7365
2021-12-06,18.3971
2021-12-07,18.3470
2021-12-08,18.4176
2021-12-09,18.0144
2021-12-10,17.9552
2021-12-13,17.6226
2021-12-14,17.6681
2021-12-15,17.7182
2021-12-16,17.6089
2021-12-17,17.3492
2021-12-20,17.6863
2021-12-21,17.6454
2021-12-22,17.4039
2021-12-23,17.4403
2021-12-27,17.3264
2021-12-28,17.2763
2021-12-29,17.6454
2021-12-30,17.1925
2021-12-31,17.1032
2022-01-03,17.7684
2022-01-04,17.5998
2022-01-05,17.6135
2022-01-06,17.5588
2022-01-07,17.5998
2022-01-10,17.7911
2022-01-11,17.8686
2022-01-12,18.0235
2022-01-13,17.9825
2022-01-14,18.0645
2022-01-18,18.6659
2022-01-19,18.2057
2022-01-20,18.2741
2022-01-21,17.9734
2022-01-24,18.1830
2022-01-25,18.3515
2022-01-26,18.4071
2022-01-27,18.0699
2022-01-28,18.3205
2022-01-31,18.5210
2022-02-01,18.6349
2022-02-02,18.4527
2022-02-03,18.6987
2022-02-04,18.8855
2022-02-07,19.1315
2022-02-08,19.5917
2022-02-09,19.2865
2022-02-10,19.9016
2022-02-11,19.8924
2022-02-14,20.5713
2022-02-15,20.9928
2022-02-16,20.7718
2022-02-17,20.4437
2022-02-18,20.0533
2022-02-22,20.0018
2022-02-23,20.3708
2022-02-24,20.2205
2022-02-25,20.0474
2022-02-28,19.4140
2022-03-01,19.5735
2022-03-02,20.8356
2022-03-03,20.1977
2022-03-04,19.6505
2022-03-07,20.3663
2022-03-08,20.7353
2022-03-09,20.6761
2022-03-10,20.7581
2022-03-11,20.4301
2022-03-14,21.1910
2022-03-15,21.2320
2022-03-16,21.3595
2022-03-17,21.3003
2022-03-18,20.4027
2022-03-21,21.2684
2022-03-22,21.6238
2022-03-23,20.8538
2022-03-24,21.6876
2022-03-25,22.7355
2022-03-28,23.2731
2022-03-29,22.9269
2022-03-30,22.7856
2022-03-31,22.7082
2022-04-01,21.7833
2022-04-04,21.8379
2022-04-05,22.4257
2022-04-06,23.1365
2022-04-07,24.3165
2022-04-08,25.7426
2022-04-11,26.8634
2022-04-12,26.3395
2022-04-13,25.3007
2022-04-14,26.1117
2022-04-18,26.3759
2022-04-19,26.8407
2022-04-20,25.3007
2022-04-21,25.5376
2022-04-22,25.8702
2022-04-25,25.4647
2022-04-26,25.0601
2022-04-27,25.8802
2022-04-28,25.9076
2022-04-29,26.6229
2022-05-02,27.5934
2022-05-03,26.8781
2022-05-04,26.4817
2022-05-05,27.9215
2022-05-06,28.7143
2022-05-09,27.8577
2022-05-10,28.1903
2022-05-11,26.5409
2022-05-12,26.9282
2022-05-13,27.8577
2022-05-16,26.6822
2022-05-17,27.6208
2022-05-18,25.7937
2022-05-19,25.3881
2022-05-20,23.6932
2022-05-23,24.4586
2022-05-24,23.7068
2022-05-25,23.8408
2022-05-26,23.9456
2022-05-27,23.3305
2022-05-31,24.9116
2022-06-01,24.4696
2022-06-02,24.4696
2022-06-03,24.3238
2022-06-06,25.4266
2022-06-07,24.9344
2022-06-08,25.6680
2022-06-09,25.7956
2022-06-10,26.3743
2022-06-13,28.4385
2022-06-14,29.3818
2022-06-15,27.4315
2022-06-16,26.9804
2022-06-17,27.3176
2022-06-21,28.5661
2022-06-22,27.5545
2022-06-23,26.9804
2022-06-24,28.0558
2022-06-27,28.0558
2022-06-28,27.4907
2022-06-29,26.3789
2022-06-30,25.7318
2022-07-01,25.8667
2022-07-05,25.9141
2022-07-06,26.6842
2022-07-07,26.6979
2022-07-08,27.2994
2022-07-11,26.2923
2022-07-12,26.1237
2022-07-13,25.2534
2022-07-14,25.5496
2022-07-15,24.3785
2022-07-18,24.8934
2022-07-19,25.1714
2022-07-20,25.2671
2022-07-21,24.6474
2022-07-22,23.9866
2022-07-25,24.5425
2022-07-26,24.0745
2022-07-27,24.4026
2022-07-28,23.7736
2022-07-29,23.1219
2022-08-01,21.8685
2022-08-02,23.3087
2022-08-03,22.3972
2022-08-04,22.3653
2022-08-05,23.3680
2022-08-08,22.3334
2022-08-09,22.6251
2022-08-10,22.5840
2022-08-11,23.8466
2022-08-12,22.3926
2022-08-15,22.7071
2022-08-16,22.5704
2022-08-17,23.3179
2022-08-18,23.8238
2022-08-19,25.3734
